title,lead,imageUrl,link,publishedBy
"‘So much worse’ than Fyre Festival: Residents abandon trendy KC condo amid flooding, broken elevators and blight","When Ian and Danielle Young first toured their Park Reserve condominium in 2017, there wasn’t much to see. In realtor terms, it was a “white box” of studs and sheetrock. But to the Youngs, it was 850 square feet of potential.",https://wpcdn.us-midwest-1.vip.tn-cloud.net/www.kansascitymag.com/content/uploads/2019/07/Condo6x2.jpg,https://www.kansascitymag.com/so-much-worse-than-fyre-festival-residents-abandon-trendy-kc-condo-amid-flooding-broken-elevators-and-blight/,Kansas City Magazine
"UNL alumna, sexual assault survivor fights athletic power in Title IX cases","Kathy Redmond, like the rest of her family, bleeds scarlet and cream. So, on the eve of the Huskers’ glory years, she started her undergraduate career at the University of Nebraska-Lincoln, ready for the National Championship win she’d been waiting for — and she got it.",https://bloximages.newyork1.vip.townnews.com/dailynebraskan.com/content/tncms/assets/v3/editorial/2/bb/2bbb4130-157e-11ea-a230-2b36bbacff19/5de5d874e5abe.image.jpg?resize=1700%2C1133,http://www.dailynebraskan.com/news/unl-alumna-sexual-assault-survivor-fights-athletic-power-in-title-ix-cases/article_9466fb5c-156f-11ea-9d84-071ea9154f79.html,The Daily Nebraskan
"UNL rugby player defeats cancer, returns to dominate the field","Under the bright lights of the Vine Street fields, Ryan Tooley runs with the University of Nebraska-Lincoln rugby team, repping his number nine jersey. It’s Tooley’s second year playing at UNL and his coach says he’s running faster, his passes are getting stronger. 
Watching him play, no one would guess that it’s been just over a year since Tooley was named cancer-free.",https://bloximages.newyork1.vip.townnews.com/dailynebraskan.com/content/tncms/assets/v3/editorial/3/8e/38e35504-25a3-11e8-9e4e-4366cebedacb/5aa5f043014f7.image.jpg?resize=1700%2C1198,http://www.dailynebraskan.com/news/unl-rugby-player-defeats-cancer-returns-to-dominate-the-field/article_e25bb9a6-25a2-11e8-bd7a-5705e072cee0.html,The Daily Nebraskan
Bikes and Barbie dolls: Omaha company surprises students with gifts at Kennedy Elementary,"Santa Claus came early this year for Kennedy Elementary’s pre-K to fifth-grade students.
But, rather than make an entrance with a red suit or a sleigh, he arrived much more modestly — and he looked a lot like Omaha businessman Tom McNeil.",https://bloximages.newyork1.vip.townnews.com/omaha.com/content/tncms/assets/v3/editorial/8/12/812bdc6f-5edb-5ce7-9e20-76ef0186c78f/5c11b846c5cb8.image.jpg?resize=1200%2C800,https://www.omaha.com/news/education/primary-secondary/bikes-and-barbie-dolls-omaha-company-surprises-students-with-gifts/article_1b84c726-f19b-58e2-afa6-9bfd8ea4bcdd.html,Omaha World-Herald
